,Infected,predicted_Infected
2020-12-29,272,234.8933823529412
2020-12-30,229,263.68558951965065
2020-12-31,222,220.74774774774772
2021-01-01,214,217.85046728971963
2021-01-02,210,189.54285714285714
2021-01-03,186,210.0
2021-01-04,186,187.0
2021-01-05,187,186.99465240641712
2021-01-06,188,177.05319148936167
2021-01-07,178,181.66292134831463
2021-01-08,172,154.19767441860466
2021-01-09,149,169.69127516778525
2021-01-10,147,155.08163265306123
2021-01-11,153,150.84313725490193
2021-01-12,157,129.61146496815286
2021-01-13,133,146.37593984962405
2021-01-14,124,130.8548387096774
2021-01-15,122,130.09836065573774
2021-01-16,128,122.0
2021-01-17,128,118.0
2021-01-18,118,125.83050847457626
2021-01-19,116,97.65517241379311
2021-01-20,96,119.62500000000003
2021-01-21,99,88.24242424242425
2021-01-22,91,91.38461538461539
2021-01-23,84,88.83333333333334
2021-01-24,82,76.82926829268294
2021-01-25,75,69.97333333333331
2021-01-26,64,80.859375
2021-01-27,69,62.144927536231876
2021-01-28,67,68.99999999999999
2021-01-29,67,53.0
2021-01-30,53,63.20754716981133
2021-01-31,50,52.999999999999986
2021-02-01,50,49.0
2021-02-02,49,58.16326530612245
2021-02-03,57,45.561403508771924
2021-02-04,53,57.0
2021-02-05,53,50.0
2021-02-06,50,48.760000000000005
2021-02-07,46,50.0
2021-02-08,46,48.0
2021-02-09,48,35.45833333333334
2021-02-10,37,55.783783783783775
2021-02-11,43,33.55813953488372
2021-02-12,39,45.205128205128204
2021-02-13,41,42.80487804878048
2021-02-14,45,41.91111111111111
2021-02-15,46,47.93478260869564
2021-02-16,49,42.24489795918367
2021-02-17,45,54.44444444444445
2021-02-18,50,47.7
2021-02-19,53,53.77358490566038
2021-02-20,57,60.43859649122807
2021-02-21,65,60.50769230769231
2021-02-22,69,68.76811594202898
2021-02-23,73,74.67123287671232
2021-02-24,79,71.15189873417721
2021-02-25,77,93.36363636363637
2021-02-26,91,89.69230769230768
2021-02-27,106,91.85849056603774
2021-02-28,107,111.94392523364486
2021-03-01,113,110.78761061946904
2021-03-02,117,112.03418803418802
2021-03-03,116,117.0
2021-03-04,116,115.99999999999999
2021-03-05,116,111.99999999999999
2021-03-06,112,112.89285714285712
2021-03-07,109,112.0
2021-03-08,109,110.0
2021-03-09,110,106.02727272727272
2021-03-10,107,113.08411214953273
2021-03-11,110,95.32727272727274
2021-03-12,98,89.79591836734694
2021-03-13,80,97.99999999999999
2021-03-14,80,75.0
2021-03-15,75,77.86666666666666
2021-03-16,73,91.43835616438355
2021-03-17,89,80.38202247191012
2021-03-18,98,99.89795918367346
2021-03-19,110,108.69090909090907
2021-03-20,122,115.40983606557377
2021-03-21,128,124.859375
2021-03-22,131,127.02290076335878
2021-03-23,130,130.99999999999997
2021-03-24,130,127.00000000000001
2021-03-25,127,128.9763779527559
2021-03-26,126,130.02380952380952
2021-03-27,129,124.046511627907
2021-03-28,127,132.04724409448818
2021-03-29,130,144.58461538461538
2021-03-30,148,129.12162162162164
2021-03-31,147,155.04761904761907
2021-04-01,154,147.0
2021-04-02,154,158.0
2021-04-03,158,166.67088607594937
2021-04-04,171,166.31578947368425
2021-04-05,180,191.9
2021-04-06,202,184.45544554455446
2021-04-07,207,220.5410628019324
2021-04-08,226,224.40265486725664
2021-04-09,245,242.60408163265305
2021-04-10,263,277.6045627376426
2021-04-11,298,277.1208053691275
2021-04-12,314,297.99999999999994
2021-04-13,314,304.99999999999994
2021-04-14,305,307.82295081967214
2021-04-15,299,305.0
2021-04-16,299,295.0
2021-04-17,295,295.95932203389833
2021-04-18,292,295.0
2021-04-19,292,266.0
2021-04-20,266,289.8045112781955
2021-04-21,264,247.86363636363635
2021-04-22,246,250.0487804878049
2021-04-23,233,231.21888412017165
2021-04-24,219,197.89041095890408
2021-04-25,186,197.80645161290323
2021-04-26,168,163.85714285714283
2021-04-27,148,170.27027027027026
2021-04-28,150,141.09333333333336
2021-04-29,143,156.29370629370632
2021-04-30,149,137.24161073825502
2021-05-01,143,139.6223776223776
2021-05-02,134,138.7313432835821
2021-05-03,130,143.27692307692308
2021-05-04,139,128.1294964028777
2021-05-05,137,137.985401459854
2021-05-06,136,133.9779411764706
2021-05-07,133,131.90977443609023
2021-05-08,129,134.03100775193798
2021-05-09,130,131.97692307692307
2021-05-10,133,136.8421052631579
2021-05-11,140,141.55
2021-05-12,149,140.93959731543626
2021-05-13,150,142.04666666666665
2021-05-14,143,151.04895104895107
2021-05-15,144,144.98611111111111
2021-05-16,146,141.04109589041096
2021-05-17,143,136.14799232372422
2021-05-18,138,140.58875641989098
2021-05-19,141,146.27681324371733
2021-05-20,143,146.47553541872495
2021-05-21,153,148.99125339166565
2021-05-22,160,155.5754914607066
2021-05-23,166,168.67448093378897
2021-05-24,161,168.16435075885417
2021-05-25,154,167.09079178043882
2021-05-26,138,151.09630896745645
2021-05-27,134,150.81085010760899
2021-05-28,124,144.44328794721295
2021-05-29,119,138.7915488112787
