date,시도명,def_Acc,daily_Acc,DAC,DDAC
2020-07-29,서울,1589,,,
2020-07-30,서울,1592,3.0,,
2020-07-31,서울,1600,8.0,5.0,
2020-08-01,서울,1602,2.0,-6.0,-11.0
2020-08-02,서울,1607,5.0,3.0,9.0
2020-08-03,서울,1612,5.0,0.0,-3.0
2020-08-04,서울,1621,9.0,4.0,4.0
2020-08-05,서울,1627,6.0,-3.0,-7.0
2020-08-06,서울,1636,9.0,3.0,6.0
2020-08-07,서울,1645,9.0,0.0,-3.0
2020-08-08,서울,1662,17.0,8.0,8.0
2020-08-09,서울,1675,13.0,-4.0,-12.0
2020-08-10,서울,1688,13.0,0.0,4.0
2020-08-11,서울,1694,6.0,-7.0,-7.0
2020-08-12,서울,1709,15.0,9.0,16.0
2020-08-13,서울,1735,26.0,11.0,2.0
2020-08-14,서울,1767,32.0,6.0,-5.0
2020-08-15,서울,1841,74.0,42.0,36.0
2020-08-16,서울,1987,146.0,72.0,30.0
2020-08-17,서울,2077,90.0,-56.0,-128.0
2020-08-18,서울,2209,132.0,42.0,98.0
2020-08-19,서울,2360,151.0,19.0,-23.0
2020-08-20,서울,2495,135.0,-16.0,-35.0
2020-08-21,서울,2621,126.0,-9.0,7.0
2020-08-22,서울,2750,129.0,3.0,12.0
2020-08-23,서울,2890,140.0,11.0,8.0
2020-08-24,서울,2987,97.0,-43.0,-54.0
2020-08-25,서울,3122,135.0,38.0,81.0
2020-08-26,서울,3233,111.0,-24.0,-62.0
2020-08-27,서울,3387,154.0,43.0,67.0
2020-08-28,서울,3533,146.0,-8.0,-51.0
2020-08-29,서울,3658,125.0,-21.0,-13.0
2020-08-30,서울,3774,116.0,-9.0,12.0
2020-08-31,서울,3868,94.0,-22.0,-13.0
2020-09-01,서울,3962,94.0,0.0,22.0
2020-09-02,서울,4063,101.0,7.0,7.0
2020-09-03,서울,4132,69.0,-32.0,-39.0
2020-09-04,서울,4200,68.0,-1.0,31.0
2020-09-05,서울,4251,51.0,-17.0,-16.0
2020-09-06,서울,4314,63.0,12.0,29.0
2020-09-07,서울,4362,48.0,-15.0,-27.0
2020-09-08,서울,4429,67.0,19.0,34.0
2020-09-09,서울,4478,49.0,-18.0,-37.0
2020-09-10,서울,4526,48.0,-1.0,17.0
2020-09-11,서울,4589,63.0,15.0,16.0
2020-09-12,서울,4639,50.0,-13.0,-28.0
2020-09-13,서울,4670,31.0,-19.0,-6.0
2020-09-14,서울,4711,41.0,10.0,29.0
2020-09-15,서울,4743,32.0,-9.0,-19.0
2020-09-16,서울,4794,51.0,19.0,28.0
2020-09-17,서울,4858,64.0,13.0,-6.0
2020-09-18,서울,4904,46.0,-18.0,-31.0
2020-09-19,서울,4944,40.0,-6.0,12.0
2020-09-20,서울,4972,28.0,-12.0,-6.0
2020-09-21,서울,4995,23.0,-5.0,7.0
2020-09-22,서울,5016,21.0,-2.0,3.0
2020-09-23,서울,5056,40.0,19.0,21.0
2020-09-24,서울,5095,39.0,-1.0,-20.0
2020-09-25,서울,5152,57.0,18.0,19.0
2020-09-26,서울,5178,26.0,-31.0,-49.0
2020-09-27,서울,5212,34.0,8.0,39.0
2020-09-28,서울,5231,19.0,-15.0,-23.0
2020-09-29,서울,5242,11.0,-8.0,7.0
2020-09-30,서울,5293,51.0,40.0,48.0
2020-10-01,서울,5323,30.0,-21.0,-61.0
2020-10-02,서울,5334,11.0,-19.0,2.0
2020-10-03,서울,5360,26.0,15.0,34.0
2020-10-04,서울,5376,16.0,-10.0,-25.0
2020-10-05,서울,5395,19.0,3.0,13.0
2020-10-06,서울,5410,15.0,-4.0,-7.0
2020-10-07,서울,5443,33.0,18.0,22.0
2020-10-08,서울,5463,20.0,-13.0,-31.0
2020-10-09,서울,5485,22.0,2.0,15.0
2020-10-10,서울,5510,25.0,3.0,1.0
2020-10-11,서울,5533,23.0,-2.0,-5.0
2020-10-12,서울,5564,31.0,8.0,10.0
2020-10-13,서울,5584,20.0,-11.0,-19.0
