,Infected,predicted_Infected
2021-12-30,341,329.5542521994135
2021-12-31,322,333.5869565217391
2022-01-01,315,318.93333333333334
2022-01-02,312,312.9807692307692
2022-01-03,310,303.9483870967742
2022-01-04,302,316.15894039735093
2022-01-05,308,303.96103896103904
2022-01-06,310,293.0967741935484
2022-01-07,295,303.6949152542373
2022-01-08,289,277.6470588235294
2022-01-09,272,285.8125
2022-01-10,269,281.1003717472119
2022-01-11,278,241.90647482014387
2022-01-12,250,262.43199999999996
2022-01-13,236,239.40677966101694
2022-01-14,226,225.55752212389382
2022-01-15,216,214.49074074074073
2022-01-16,205,199.1414634146342
2022-01-17,189,188.7301587301587
2022-01-18,174,156.41379310344828
2022-01-19,144,163.125
2022-01-20,135,149.33333333333337
2022-01-21,140,142.71428571428572
2022-01-22,148,155.13513513513513
2022-01-23,164,154.31707317073167
2022-01-24,171,180.30409356725144
2022-01-25,188,214.65957446808514
2022-01-26,236,239.77966101694918
2022-01-27,301,265.79401993355486
2022-01-28,339,356.93805309734506
2022-01-29,402,390.44029850746267
2022-01-30,463,455.8315334773218
2022-01-31,525,536.1980952380952
2022-02-01,608,619.1200657894736
2022-02-02,717,742.8284518828452
2022-02-03,876,878.2431506849315
2022-02-04,1073,1064.5890027958994
2022-02-05,1304,1285.2960122699387
2022-02-06,1562,1287.303457106274
2022-02-07,1542,2290.325551232166
2022-02-08,2261,1786.1556833259617
2022-02-09,2619,2585.603283696067
2022-02-10,2995,2996.7656093489145
2022-02-11,3427,3368.173329442661
2022-02-12,3854,3858.2649195640893
2022-02-13,4339,4239.4888223092885
2022-02-14,4773,4761.718416090508
2022-02-15,5238,5502.8917525773195
2022-02-16,6039,5856.429210134129
2022-02-17,6752,6845.750296208532
2022-02-18,7654,7597.102691403188
2022-02-19,8612,8494.766836971668
2022-02-20,9558,9585.107344632768
2022-02-21,10638,10051.263959390863
2022-02-22,11187,11922.699919549477
2022-02-23,12538,12125.644440899665
2022-02-24,13590,14001.227961736573
2022-02-25,15176,14856.226937269374
2022-02-26,16590,16651.520675105487
2022-02-27,18203,17772.981926056145
2022-02-28,19501,19810.382493205478
2022-03-01,21223,20680.81831032371
2022-03-02,22507,23497.39800950815
2022-03-03,24919,24570.826598178097
2022-03-04,27204,26823.37439347155
2022-03-05,29283,29486.560803196397
2022-03-06,31740,31269.33582230624
2022-03-07,33893,33382.57988375181
2022-03-08,35647,35885.866945325
2022-03-09,37743,38879.908910261496
2022-03-10,41166,39784.822401982216
2022-03-11,43393,44271.97294494503
2022-03-12,46667,47145.84779394433
2022-03-13,50703,49447.52594521035
2022-03-14,53724,52238.51077730624
2022-03-15,55351,59038.066593196156
2022-03-16,60826,56124.49077697036
2022-03-17,61676,61825.039140022054
2022-03-18,62689,64733.77740911483
2022-03-19,65797,65109.020061704934
2022-03-20,68337,65853.80704450005
2022-03-21,68396,68473.88182057429
2022-03-22,68533,70105.57564968702
2022-03-23,70246,68637.39072687413
2022-03-24,70353,70745.23954913083
2022-03-25,70853,69251.82606241091
2022-03-26,69744,69641.03009577884
2022-03-27,68551,67885.20453385072
2022-03-28,66724,67964.36519093579
2022-03-29,66153,64767.254878841464
2022-03-30,64213,67111.09711429151
2022-03-31,65143,63681.69491733571
2022-04-01,64604,62499.12429570925
2022-04-02,61982,61845.02500726017
2022-04-03,59335,60905.00594927109
2022-04-04,58304,58846.51207464325
2022-04-05,57824,56880.27891532929
2022-04-06,56412,55963.5703041906
2022-04-07,54597,54413.70690697291
2022-04-08,52663,53204.67956629893
2022-04-09,51320,50141.70243569758
2022-04-10,48863,49966.18463868366
2022-04-11,47574,47030.66317736579
2022-04-12,45790,44749.06647739681
2022-04-13,43071,42718.62227484851
2022-04-14,40182,40852.17142003882
2022-04-15,38112,37913.11712846348
2022-04-16,35960,35872.549054505005
2022-04-17,33847,34464.10139746506
2022-04-18,32439,32283.97999321804
2022-04-19,30941,29544.326944830485
2022-04-20,28180,28821.903832505326
2022-04-21,26250,26390.435809523813
2022-04-22,24583,24416.56836024895
2022-04-23,22866,22906.935231347856
2022-04-24,21307,21817.51443187685
2022-04-25,20330,20469.602410231182
2022-04-26,19531,18470.935947980135
2022-04-27,17745,16171.518135774371
2022-04-28,16405,14920.982679220278
2022-04-29,15354,13878.293399076445
2022-04-30,14516,12819.912015981206
2022-05-01,13625,11885.47651730714
2022-05-02,13205,11437.781155372162
2022-05-03,12382,10788.960498902847
2022-05-04,11713,9887.96311230258
2022-05-05,11004,9132.413129938077
2022-05-06,10387,8379.085456536815
2022-05-07,9674,7769.195709048593
2022-05-08,9377,7177.046402074922
2022-05-09,9072,6793.3958384253465
