Date,city,Death,Death_n,Inf_AC,Inf_n,Infected,Recovered,Recovered_n,Susceptible,Susceptible_n
2020-01-20,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-01-21,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-01-22,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-01-23,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-01-24,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-01-25,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-01-26,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-01-27,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-01-28,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-01-29,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-01-30,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-01-31,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-01,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-02,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-03,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-04,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-05,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-06,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-07,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-08,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-09,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-10,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-11,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-12,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-13,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-14,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-15,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-16,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-17,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-18,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-19,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-20,경남,0,0.0,0,0.0,0,0,0.0,3311631,0.0
2020-02-21,경남,0,0.0,2,2.0,2,0,0.0,3311629,-2.0
2020-02-22,경남,0,0.0,4,2.0,4,0,0.0,3311627,-2.0
2020-02-23,경남,0,0.0,11,7.0,11,0,0.0,3311620,-7.0
2020-02-24,경남,0,0.0,20,9.0,20,0,0.0,3311611,-9.0
2020-02-25,경남,0,0.0,21,1.0,21,0,0.0,3311610,-1.0
2020-02-26,경남,0,0.0,25,4.0,25,0,0.0,3311606,-4.0
2020-02-27,경남,0,0.0,36,11.0,36,0,0.0,3311595,-11.0
2020-02-28,경남,0,0.0,46,10.0,46,0,0.0,3311585,-10.0
2020-02-29,경남,0,0.0,59,13.0,59,0,0.0,3311572,-13.0
2020-03-01,경남,0,0.0,60,1.0,60,0,0.0,3311571,-1.0
2020-03-02,경남,0,0.0,62,2.0,62,0,0.0,3311569,-2.0
2020-03-03,경남,0,0.0,63,1.0,63,0,0.0,3311568,-1.0
2020-03-04,경남,0,0.0,65,2.0,65,0,0.0,3311566,-2.0
2020-03-05,경남,0,0.0,74,9.0,74,0,0.0,3311557,-9.0
2020-03-06,경남,0,0.0,77,3.0,75,2,2.0,3311554,-3.0
2020-03-07,경남,0,0.0,82,5.0,78,4,2.0,3311549,-5.0
2020-03-08,경남,0,0.0,83,1.0,72,11,7.0,3311548,-1.0
2020-03-09,경남,0,0.0,83,0.0,63,20,9.0,3311548,0.0
2020-03-10,경남,0,0.0,83,0.0,62,21,1.0,3311548,0.0
2020-03-11,경남,0,0.0,84,1.0,59,25,4.0,3311547,-1.0
2020-03-12,경남,0,0.0,85,1.0,49,36,11.0,3311546,-1.0
2020-03-13,경남,0,0.0,85,0.0,39,46,10.0,3311546,0.0
2020-03-14,경남,0,0.0,85,0.0,26,59,13.0,3311546,0.0
2020-03-15,경남,0,0.0,85,0.0,25,60,1.0,3311546,0.0
2020-03-16,경남,0,0.0,85,0.0,23,62,2.0,3311546,0.0
2020-03-17,경남,0,0.0,86,1.0,23,63,1.0,3311545,-1.0
2020-03-18,경남,0,0.0,86,0.0,21,65,2.0,3311545,0.0
2020-03-19,경남,0,0.0,86,0.0,12,74,9.0,3311545,0.0
2020-03-20,경남,0,0.0,87,1.0,10,77,3.0,3311544,-1.0
2020-03-21,경남,0,0.0,87,0.0,5,82,5.0,3311544,0.0
2020-03-22,경남,0,0.0,88,1.0,5,83,1.0,3311543,-1.0
2020-03-23,경남,0,0.0,89,1.0,6,83,0.0,3311542,-1.0
2020-03-24,경남,0,0.0,90,1.0,7,83,0.0,3311541,-1.0
2020-03-25,경남,0,0.0,90,0.0,6,84,1.0,3311541,0.0
2020-03-26,경남,0,0.0,90,0.0,5,85,1.0,3311541,0.0
2020-03-27,경남,0,0.0,91,1.0,6,85,0.0,3311540,-1.0
2020-03-28,경남,0,0.0,91,0.0,6,85,0.0,3311540,0.0
2020-03-29,경남,0,0.0,94,3.0,9,85,0.0,3311537,-3.0
2020-03-30,경남,0,0.0,95,1.0,10,85,0.0,3311536,-1.0
2020-03-31,경남,0,0.0,96,1.0,10,86,1.0,3311535,-1.0
2020-04-01,경남,0,0.0,100,4.0,14,86,0.0,3311531,-4.0
2020-04-02,경남,0,0.0,106,6.0,20,86,0.0,3311525,-6.0
2020-04-03,경남,0,0.0,107,1.0,20,87,1.0,3311524,-1.0
2020-04-04,경남,0,0.0,108,1.0,21,87,0.0,3311523,-1.0
2020-04-05,경남,0,0.0,109,1.0,21,88,1.0,3311522,-1.0
2020-04-06,경남,0,0.0,111,2.0,22,89,1.0,3311520,-2.0
2020-04-07,경남,0,0.0,112,1.0,22,90,1.0,3311519,-1.0
2020-04-08,경남,0,0.0,113,1.0,23,90,0.0,3311518,-1.0
2020-04-09,경남,0,0.0,115,2.0,25,90,0.0,3311516,-2.0
2020-04-10,경남,0,0.0,115,0.0,24,91,1.0,3311516,0.0
2020-04-11,경남,0,0.0,115,0.0,24,91,0.0,3311516,0.0
2020-04-12,경남,0,0.0,115,0.0,21,94,3.0,3311516,0.0
2020-04-13,경남,0,0.0,115,0.0,20,95,1.0,3311516,0.0
2020-04-14,경남,0,0.0,115,0.0,19,96,1.0,3311516,0.0
2020-04-15,경남,0,0.0,115,0.0,15,100,4.0,3311516,0.0
2020-04-16,경남,0,0.0,115,0.0,9,106,6.0,3311516,0.0
2020-04-17,경남,0,0.0,116,1.0,9,107,1.0,3311515,-1.0
2020-04-18,경남,0,0.0,116,0.0,8,108,1.0,3311515,0.0
2020-04-19,경남,0,0.0,116,0.0,7,109,1.0,3311515,0.0
2020-04-20,경남,0,0.0,116,0.0,5,111,2.0,3311515,0.0
2020-04-21,경남,0,0.0,116,0.0,4,112,1.0,3311515,0.0
2020-04-22,경남,0,0.0,117,1.0,4,113,1.0,3311514,-1.0
