Date,city,Death,Death_n,Inf_AC,Inf_n,Infected,Recovered,Recovered_n,Susceptible,Susceptible_n
2020-01-20,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-01-21,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-01-22,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-01-23,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-01-24,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-01-25,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-01-26,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-01-27,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-01-28,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-01-29,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-01-30,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-01-31,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-02-01,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-02-02,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-02-03,광주,0,0.0,0,0.0,0,0,0.0,1440908,0.0
2020-02-04,광주,0,0.0,1,1.0,1,0,0.0,1440907,-1.0
2020-02-05,광주,0,0.0,2,1.0,2,0,0.0,1440906,-1.0
2020-02-06,광주,0,0.0,2,0.0,2,0,0.0,1440906,0.0
2020-02-07,광주,0,0.0,2,0.0,2,0,0.0,1440906,0.0
2020-02-08,광주,0,0.0,2,0.0,2,0,0.0,1440906,0.0
2020-02-09,광주,0,0.0,2,0.0,2,0,0.0,1440906,0.0
2020-02-10,광주,0,0.0,2,0.0,2,0,0.0,1440906,0.0
2020-02-11,광주,0,0.0,2,0.0,2,0,0.0,1440906,0.0
2020-02-12,광주,0,0.0,2,0.0,2,0,0.0,1440906,0.0
2020-02-13,광주,0,0.0,2,0.0,2,0,0.0,1440906,0.0
2020-02-14,광주,0,0.0,2,0.0,2,0,0.0,1440906,0.0
2020-02-15,광주,0,0.0,2,0.0,2,0,0.0,1440906,0.0
2020-02-16,광주,0,0.0,2,0.0,2,0,0.0,1440906,0.0
2020-02-17,광주,0,0.0,2,0.0,2,0,0.0,1440906,0.0
2020-02-18,광주,0,0.0,2,0.0,1,1,1.0,1440906,0.0
2020-02-19,광주,0,0.0,2,0.0,0,2,1.0,1440906,0.0
2020-02-20,광주,0,0.0,2,0.0,0,2,0.0,1440906,0.0
