,Infected,predicted_Infected
2020-05-08,2,1.0
2020-05-09,2,1.0
2020-05-10,1,2.0
2020-05-11,1,1.0
2020-05-12,1,2.0
2020-05-13,2,1.0
2020-05-14,2,2.0
2020-05-15,2,2.0
2020-05-16,2,2.0
2020-05-17,2,2.0
2020-05-18,2,2.0
2020-05-19,2,3.0
2020-05-20,3,2.0
2020-05-21,3,2.0
2020-05-22,2,3.0
2020-05-23,2,2.0
2020-05-24,2,2.0
2020-05-25,2,2.0
2020-05-26,2,1.0
2020-05-27,1,2.0
2020-05-28,1,1.0
2020-05-29,1,1.0
2020-05-30,1,1.0
2020-05-31,1,1.0
2020-06-01,1,1.0
2020-06-02,1,0.0
2020-06-03,0,1.0
2020-06-04,0,0.0
2020-06-05,0,0.0
2020-06-06,0,0.0
2020-06-07,0,0.0
2020-06-08,0,0.0
2020-06-09,0,0.0
2020-06-10,0,0.0
2020-06-11,0,0.0
2020-06-12,0,0.0
2020-06-13,0,0.0
2020-06-14,0,0.0
2020-06-15,0,0.0
2020-06-16,0,0.0
2020-06-17,0,0.0
2020-06-18,1,0.0
2020-06-19,1,2.0
2020-06-20,2,1.0
2020-06-21,2,3.0
2020-06-22,3,2.0
2020-06-23,3,4.0
2020-06-24,4,3.0
2020-06-25,4,4.0
2020-06-26,4,5.0
2020-06-27,5,4.0
2020-06-28,5,6.0
2020-06-29,6,5.0
2020-06-30,6,6.0
2020-07-01,6,5.0
2020-07-02,5,7.199999999999999
2020-07-03,6,4.166666666666667
2020-07-04,5,7.199999999999999
2020-07-05,6,4.166666666666667
2020-07-06,5,7.199999999999999
2020-07-07,6,5.833333333333334
2020-07-08,7,6.857142857142857
2020-07-09,8,7.0
2020-07-10,8,9.0
2020-07-11,9,8.88888888888889
2020-07-12,10,8.1
2020-07-13,9,12.222222222222223
2020-07-14,11,9.0
2020-07-15,11,11.0
2020-07-16,11,10.0
2020-07-17,10,11.0
2020-07-18,10,9.0
2020-07-19,9,11.11111111111111
2020-07-20,10,8.1
2020-07-21,9,7.777777777777778
2020-07-22,7,7.714285714285715
2020-07-23,6,7.0
2020-07-24,6,4.0
2020-07-25,4,4.5
2020-07-26,3,4.0
2020-07-27,3,1.0
2020-07-28,1,3.0
2020-07-29,1,1.0
2020-07-30,1,1.0
2020-07-31,1,1.0
2020-08-01,1,1.0
2020-08-02,1,0.0
2020-08-03,0,1.0
2020-08-04,0,0.0
2020-08-05,0,0.0
2020-08-06,0,0.0
2020-08-07,0,0.0
2020-08-08,0,0.0
2020-08-09,0,0.0
2020-08-10,0,0.0
2020-08-11,1,0.0
2020-08-12,1,3.0000000000000004
2020-08-13,3,1.0
2020-08-14,3,4.0
2020-08-15,4,3.0
2020-08-16,4,5.0
2020-08-17,5,9.6
2020-08-18,12,5.416666666666666
2020-08-19,13,17.53846153846154
2020-08-20,19,16.421052631578945
2020-08-21,24,22.166666666666664
2020-08-22,28,24.0
2020-08-23,28,32.0
2020-08-24,32,30.625
2020-08-25,35,38.4
2020-08-26,42,35.0
2020-08-27,42,43.99999999999999
2020-08-28,44,41.04545454545455
2020-08-29,43,44.0
2020-08-30,43,43.00000000000001
2020-08-31,43,36.0
2020-09-01,36,41.80555555555556
2020-09-02,35,29.82857142857143
2020-09-03,29,28.96551724137931
2020-09-04,24,26.583333333333332
2020-09-05,22,25.09090909090909
2020-09-06,23,19.1304347826087
2020-09-07,20,21.849999999999998
2020-09-08,19,13.684210526315788
2020-09-09,13,17.53846153846154
2020-09-10,12,10.833333333333334
2020-09-11,10,13.2
2020-09-12,11,11.818181818181818
2020-09-13,13,11.0
2020-09-14,13,14.0
2020-09-15,14,17.642857142857142
2020-09-16,19,14.0
2020-09-17,19,27.0
2020-09-18,27,18.296296296296298
2020-09-19,26,25.961538461538463
2020-09-20,25,24.96
2020-09-21,24,21.875
2020-09-22,21,23.999999999999996
2020-09-23,21,20.999999999999996
2020-09-24,21,24.0
2020-09-25,24,22.750000000000004
2020-09-26,26,24.0
2020-09-27,26,25.0
2020-09-28,25,24.96
2020-09-29,24,22.916666666666668
2020-09-30,22,24.0
2020-10-01,22,14.000000000000002
2020-10-02,14,22.0
2020-10-03,14,14.0
2020-10-04,14,17.0
2020-10-05,17,21.41176470588235
2020-10-06,26,21.57692307692308
2020-10-07,33,25.21212121212121
2020-10-08,32,29.90625
2020-10-09,29,28.689655172413794
2020-10-10,26,26.76923076923077
2020-10-11,24,28.166666666666664
2020-10-12,26,24.92307692307692
2020-10-13,27,23.11111111111111
2020-10-14,24,28.125000000000004
2020-10-15,25,25.919999999999995
2020-10-16,27,24.074074074074076
2020-10-17,26,27.0
2020-10-18,26,24.0
2020-10-19,24,16.25
2020-10-20,15,11.2
2020-10-21,7,19.285714285714285
2020-10-22,9,8.555555555555557
2020-10-23,11,9.0
2020-10-24,11,11.0
2020-10-25,11,9.0
2020-10-26,9,9.777777777777777
2020-10-27,8,12.375
2020-10-28,11,7.999999999999999
2020-10-29,11,10.999999999999998
2020-10-30,11,11.0
2020-10-31,11,11.0
2020-11-01,11,10.0
2020-11-02,10,11.0
2020-11-03,10,10.0
2020-11-04,10,8.0
2020-11-05,8,8.75
2020-11-06,7,8.0
2020-11-07,7,7.0
2020-11-08,7,11.000000000000002
2020-11-09,11,7.0
2020-11-10,11,9.0
2020-11-11,9,9.777777777777777
2020-11-12,8,6.75
2020-11-13,6,13.333333333333334
2020-11-14,10,7.199999999999999
2020-11-15,12,10.833333333333332
2020-11-16,13,12.0
2020-11-17,13,13.0
2020-11-18,13,14.999999999999998
2020-11-19,15,23.400000000000002
2020-11-20,27,22.77777777777778
2020-11-21,41,34.90243902439025
2020-11-22,53,44.867924528301884
2020-11-23,58,66.70689655172414
2020-11-24,73,63.56164383561644
2020-11-25,80,87.6
2020-11-26,96,100.0
2020-11-27,120,100.0
2020-11-28,125,134.39999999999998
2020-11-29,140,138.39285714285714
2020-11-30,155,148.1290322580645
2020-12-01,164,179.5731707317073
2020-12-02,190,170.0421052631579
2020-12-03,197,190.96446700507616
2020-12-04,198,199.98484848484847
2020-12-05,201,198.0
2020-12-06,201,214.0
2020-12-07,214,199.12149532710282
2020-12-08,212,218.03773584905662
2020-12-09,216,204.14814814814815
2020-12-10,208,198.34615384615384
2020-12-11,191,204.7329842931937
2020-12-12,188,182.87234042553192
2020-12-13,180,179.64444444444445
2020-12-14,172,186.27906976744188
2020-12-15,178,219.34831460674158
2020-12-16,227,185.84140969163
2020-12-17,237,228.91561181434597
2020-12-18,239,235.01673640167365
2020-12-19,237,256.14345991561186
2020-12-20,254,228.6023622047244
2020-12-21,245,244.66938775510204
2020-12-22,236,254.3432203389831
2020-12-23,245,239.85306122448978
2020-12-24,249,251.8875502008032
2020-12-25,256,279.15234375
2020-12-26,287,255.10801393728224
2020-12-27,286,279.9755244755244
2020-12-28,279,278.8243727598566
2020-12-29,272,234.8933823529412
2020-12-30,229,263.68558951965065
2020-12-31,222,220.74774774774772
2021-01-01,214,217.85046728971963
2021-01-02,210,241.90588733951031
2021-01-03,186,232.70699019239848
2021-01-04,186,241.85435243434856
2021-01-05,187,237.43773993666701
2021-01-06,188,200.61572134414087
2021-01-07,178,202.6453582967177
2021-01-08,172,235.3834295849863
2021-01-09,149,185.721292810368
2021-01-10,147,189.6369442203529
2021-01-11,153,198.08360785696587
2021-01-12,157,208.50191787189783
2021-01-13,133,187.73379637705446
2021-01-14,124,174.65089442785637
